wupin	ipa
a bu40	ɑ bu4
a daeq[52]3	ɑ daʔ52
a gnie a gnie4440	ɑ ȵiɪ ɑ ȵiɪ444
a gnie se pie	ɑ ȵiɪ sᴇ piɪ
a li	ɑ li
a li40	ɑ li4
a mo yan tshe	ɑ mo ɦiã ʦʰᴇ
a mo yan[52]30	ɑ mo ɦiã52
a ten[52]1	ɑ tən52
a tsy[52]3	ɑ ʦɿ52
a zyu	ɑ zʮ
a1	ɑ44
a3	ɑ51
a44	ɑ44
aeq bu4[23]	aʔ bu23
aeq chi	aʔ ʨʰi
aeq chioq si	aʔ ʨʰioʔ si
aeq de4[523]	aʔ dᴇ523
aeq die	aʔ diɪ
aeq gen gen5[51]0, phaon chie cin[52]30	aʔ gən gən51, pʰɑ̃ ʨʰiɪ ʨin52
aeq ghou loe4[23]0	aʔ ɦəu lø23
aeq ghou tsy	aʔ ɦəu ʦɿ
aeq hau	aʔ xæ
aeq hou tsian2[51]0	aʔ xəu ʦiã51
aeq jieu5[51]	aʔ ʥiʏ51
aeq khoq tsan440	aʔ kʰoʔ ʦã44
aeq kon4[23]	aʔ koŋ23
aeq kou4[23]	aʔ kəu23
aeq lie lie4[23]0	aʔ liɪ liɪ23
aeq ma4[23]	aʔ mɑ23
aeq meq min440	aʔ məʔ min44
aeq meq44	aʔ məʔ44
aeq noe4[23]	aʔ nø23
aeq sau5[51]	aʔ sæ51
aeq sen5[51]	aʔ sən51
aeq shie tie4[23]0	aʔ ɕiɪ tiɪ23
aeq shiuq nou	aʔ ɕyəʔ nəu
aeq shiuq thaon	aʔ ɕyəʔ tʰɑ̃
aeq soq	aʔ soʔ
aeq sy tsheu5[51]0	aʔ sɿ ʦʰøʏ51
aeq tia4[23]	aʔ tiɑ23
aeq tsan	aʔ ʦã
aeq tsen koe4[23]0	aʔ ʦən kø23
aeq tshau tsyu yu4[23]40	aʔ ʦʰæ ʦʮ ɦy23
aeq tsia5[51]	aʔ ʦiɑ51
aeq tsoq shin440	aʔ ʦoʔ ɕin44
aeq tsyu paon	aʔ ʦʮ pɑ̃
aeq yeu	aʔ ɦiʏ
aeq yeu ka zy4[52]10	aʔ ɦiʏ kɑ zɿ52
aeq yeu sa5[51]0	aʔ ɦiʏ sɑ51
aeq yi4[23]	aʔ ɦi23
aeq zeq deu	aʔ zəʔ døʏ
aeq zeq deu mau	aʔ zəʔ døʏ mæ
aeq zeq deu440	aʔ zəʔ døʏ44
aeq zeq44	aʔ zəʔ44
aeq zy	aʔ zɿ
aeq43	aʔ43
aeq7	aʔ43
ah tsou	ɑʔ ʦəu
an dau zyu	ã dæ zʮ
an de	ã dᴇ
an kou ghaon	ã kəu ɦɑ̃
an kou loq	ã kəu loʔ
an kou40	ã kəu4
an1	ã44
an3	ã51
an44	ã44
an5	ã523
aon se	ɑ̃ sᴇ
aon sy ng	ɑ̃ sɿ ŋ
aon sy ng440	ɑ̃ sɿ ŋ44
aon tsaon maon mi4440	ɑ̃ ʦɑ̃ mɑ̃ mi444
aon1	ɑ̃44
aon3	ɑ̃51
aon5	ɑ̃523
aq hou tsy	ɑʔ xəu ʦɿ
aq me iq ba	ɑʔ mᴇ iəʔ bɑ
aq syu dou tsy	ɑʔ sʮ dəu ʦɿ
aq7	ɑʔ43
au au in in4440	æ æ in in444
au boq koe	æ boʔ kø
au bu40	æ bu4
au doe[52]3	æ dø52
au jiun	æ ʥyn
au kaon[23]1	æ kɑ̃23
au lau40	æ læ4
au men thon[52]30	æ mən tʰoŋ52
au mo	æ mo
au tau ba	æ tæ bɑ
au tseu heh	æ ʦøʏ xəʔ
au tshen lan440	æ ʦʰən lã44
au1	æ44
au3	æ51
au5	æ523
ba	bɑ
ba cieu	bɑ ʨiʏ
ba ghaon	bɑ ɦɑ̃
ba ka tsin230	bɑ kɑ ʦin23
ba kueq mie	bɑ kuəʔ miɪ
ba kueq23	bɑ kuəʔ23
ba men pe230	bɑ mən pᴇ23
ba poq zy	bɑ poʔ zɿ
ba shioe	bɑ ɕiø
ba tshau tsy	bɑ ʦʰæ ʦɿ
ba we	bɑ ɦuᴇ
ba we23	bɑ ɦuᴇ23
ba zau	bɑ zæ
ba zau23	bɑ zæ23
ba2	bɑ223
ba6	bɑ231
baeq ciaq34 ho li mau440	baʔ ʨiɑʔ34 xo li mæ44
baeq ghau	baʔ ɦæ
baeq ghou	baʔ ɦəu
baeq hou kuoe	baʔ xəu kuø
baeq ian	baʔ iã
baeq tshau	baʔ ʦʰæ
baeq23	baʔ23
baeq8	baʔ23
bah deu on	bɑʔ døʏ oŋ
bah lie	bɑʔ liɪ
bah me	bɑʔ mᴇ
bah ngou	bɑʔ ŋəu
bah seh	bɑʔ səʔ
ban	bã
ban beq deu230 tsoe ue[52]3	bã bəʔ døʏ23 ʦø uᴇ52
ban ieu toq	bã iʏ toʔ
ban ji	bã ʥi
ban khoq tsin230	bã kʰoʔ ʦin23
ban koq be mie gha23420	bã koʔ bᴇ miɪ ɦɑ2342
ban kuan chi230	bã kuã ʨʰi23
ban pe[52]3	bã pᴇ52
ban saon23	bã sɑ̃23
ban tin	bã tin
ban zaq	bã zɑʔ
ban2	bã223
ban223	bã223
ban231	bã231
ban6	bã231
baon bi ng	bɑ̃ bi ŋ
baon daon	bɑ̃ dɑ̃
