wupin	ipa
a	ɑ
a1	ɑ44
a3	ɑ51
a44	ɑ44
aeh	aʔ
aeq	aʔ
aeq43	aʔ43
aeq4[23]40	aʔ23
aeq7	aʔ43
aeq[52]1	aʔ52
ah	ɑʔ
an	ã
an1	ã44
an3	ã51
an44	ã44
an5	ã523
aon	ɑ̃
aon1	ɑ̃44
aon3	ɑ̃51
aon5	ɑ̃523
aq	ɑʔ
aq7	ɑʔ43
au	æ
au1	æ44
au23	æ23
au3	æ51
au5	æ523
au5[51]	æ51
ba	bɑ
ba2	bɑ223
ba23	bɑ23
ba230	bɑ23
ba2[51]0	bɑ51
ba40	bɑ4
ba4[23]0	bɑ23
ba6	bɑ231
ba[52]3	bɑ52
baeq	baʔ
baeq23	baʔ23
baeq230	baʔ23
baeq8	baʔ23
bah	bɑʔ
ban	bã
ban2	bã223
ban223	bã223
ban23	bã23
ban231	bã231
ban40	bã4
ban440	bã44
ban6	bã231
ban[52]1	bã52
ban[52]30	bã52
baon	bɑ̃
baon2	bɑ̃223
baon231	bɑ̃231
baon40	bɑ̃4
baon4[23]0	bɑ̃23
baon6	bɑ̃231
baon[52]30	bɑ̃52
baq	bɑʔ
baq23	bɑʔ23
baq40	bɑʔ4
baq4[23]40	bɑʔ23
baq8	bɑʔ23
bau	bæ
bau2	bæ223
bau40	bæ4
bau6	bæ231
be	bᴇ
be2	bᴇ223
be223	bᴇ223
be23	bᴇ23
be230	bᴇ23
be231	bᴇ231
be40	bᴇ4
be440	bᴇ44
be6	bᴇ231
beh	bəʔ
ben	bən
ben2	bən223
ben223	bən223
ben23	bən23
ben6	bən231
beq	bəʔ
beq23	bəʔ23
beq8	bəʔ23
beu2	bøʏ223
beu6	bøʏ231
bi	bi
bi2	bi223
bi23	bi23
bi230	bi23
bi231	bi231
bi40	bi4
bi440	bi44
bi6	bi231
bi[523]0	bi523
biau	biæ
biau2	biæ223
bie	biɪ
bie2	biɪ223
bie231	biɪ231
bie6	biɪ231
bin	bin
bin2	bin223
bin223	bin223
bin23	bin23
bin230	bin23
bin231	bin231
bin2[51]0	bin51
bin440	bin44
bin6	bin231
bin[52]30	bin52
biq	biəʔ
biq44	biəʔ44
biq8	biəʔ23
bo	bo
bo2	bo223
bo223	bo223
bo2[51]	bo51
bo440	bo44
bo6	bo231
boe	bø
boe1	bø44
boe2	bø223
boe223	bø223
boe23	bø23
boe231	bø231
boe3420	bø342
boe40	bø4
boe6	bø231
boe[52]3	bø52
bon	boŋ
bon2	boŋ223
bon223	boŋ223
bon4440	boŋ444
bon5	boŋ523
bon6	boŋ231
boq	boʔ
boq23	boʔ23
boq230	boʔ23
boq34	boʔ34
boq440	boʔ44
boq4440	boʔ444
boq8	boʔ23
boq[23]	boʔ23
bu	bu
bu2	bu223
bu223	bu223
bu23	bu23
bu230	bu23
bu231	bu231
bu2[51]0	bu51
bu40	bu4
bu4[23]	bu23
bu4[23]0	bu23
bu52	bu52
bu6	bu231
bu[52]3	bu52
caiq	?
chi	ʨʰi
chi1	ʨʰi44
chi23	ʨʰi23
chi230	ʨʰi23
chi2340	ʨʰi234
chi23440	ʨʰi2344
chi2[51]deu223	?
chi3	ʨʰi51
chi40	ʨʰi4
chi440	ʨʰi44
chi4440	ʨʰi444
chi44420	ʨʰi4442
chi4[23]40	ʨʰi23
chi5	ʨʰi523
chi[23]1	ʨʰi23
chi[52]1	ʨʰi52
chi[52]30	ʨʰi52
chi[52]340	ʨʰi52
chiaeq7	ʨʰiaʔ43
chian	ʨʰiã
chian1	ʨʰiã44
chian230	ʨʰiã23
